time	EMPTY_DRIVE	PICKUP	OCCUPIED_DRIVE	DROPOFF	STAY	UNPLANNED
00:00	0.0	0.0	0.0	0.0	0.0	0.0
00:05	0.0	0.0	0.0	0.0	0.0	0.0
00:10	0.0	0.0	0.0	0.0	0.0	0.0
00:15	0.0	0.0	0.0	0.0	0.0	0.0
00:20	0.0	0.0	0.0	0.0	0.0	0.0
00:25	0.0	0.0	0.0	0.0	0.0	0.0
00:30	0.0	0.0	0.0	0.0	0.0	0.0
00:35	0.0	0.0	0.0	0.0	0.0	0.0
00:40	0.0	0.0	0.0	0.0	0.0	0.0
00:45	0.0	0.0	0.0	0.0	0.0	0.0
00:50	0.0	0.0	0.0	0.0	0.0	0.0
00:55	0.0	0.0	0.0	0.0	0.0	0.0
01:00	0.0	0.0	0.0	0.0	0.0	0.0
01:05	0.0	0.0	0.0	0.0	0.0	0.0
01:10	0.0	0.0	0.0	0.0	0.0	0.0
01:15	0.0	0.0	0.0	0.0	0.0	0.0
01:20	0.0	0.0	0.0	0.0	0.0	0.0
01:25	0.0	0.0	0.0	0.0	0.0	0.0
01:30	0.0	0.0	0.0	0.0	0.0	0.0
01:35	0.0	0.0	0.0	0.0	0.0	0.0
01:40	0.0	0.0	0.0	0.0	0.0	0.0
01:45	0.0	0.0	0.0	0.0	0.0	0.0
01:50	0.0	0.0	0.0	0.0	0.0	0.0
01:55	0.0	0.0	0.0	0.0	0.0	0.0
02:00	0.0	0.0	0.0	0.0	0.0	0.0
02:05	0.0	0.0	0.0	0.0	0.0	0.0
02:10	0.0	0.0	0.0	0.0	0.0	0.0
02:15	0.0	0.0	0.0	0.0	0.0	0.0
02:20	0.0	0.0	0.0	0.0	0.0	0.0
02:25	0.0	0.0	0.0	0.0	0.0	0.0
02:30	0.0	0.0	0.0	0.0	0.0	0.0
02:35	0.0	0.0	0.0	0.0	0.0	0.0
02:40	0.0	0.0	0.0	0.0	0.0	0.0
02:45	0.0	0.0	0.0	0.0	0.0	0.0
02:50	0.0	0.0	0.0	0.0	0.0	0.0
02:55	0.0	0.0	0.0	0.0	0.0	0.0
03:00	0.0	0.0	0.0	0.0	0.0	0.0
03:05	0.0	0.0	0.0	0.0	0.0	0.0
03:10	0.0	0.0	0.0	0.0	0.0	0.0
03:15	0.0	0.0	0.0	0.0	0.0	0.0
03:20	0.0	0.0	0.0	0.0	0.0	0.0
03:25	0.0	0.0	0.0	0.0	0.0	0.0
03:30	0.0	0.0	0.0	0.0	0.0	0.0
03:35	0.0	0.0	0.0	0.0	0.0	0.0
03:40	0.0	0.0	0.0	0.0	0.0	0.0
03:45	0.0	0.0	0.0	0.0	0.0	0.0
03:50	0.0	0.0	0.0	0.0	0.0	0.0
03:55	0.0	0.0	0.0	0.0	0.0	0.0
04:00	0.0	0.0	0.0	0.0	0.0	0.0
04:05	0.0	0.0	0.0	0.0	0.0	0.0
04:10	0.0	0.0	0.0	0.0	0.0	0.0
04:15	0.0	0.0	0.0	0.0	0.0	0.0
04:20	0.0	0.0	0.0	0.0	0.0	0.0
04:25	0.0	0.0	0.0	0.0	0.0	0.0
04:30	0.0	0.0	0.0	0.0	0.0	0.0
04:35	0.0	0.0	0.0	0.0	0.0	0.0
04:40	0.0	0.0	0.0	0.0	0.0	0.0
04:45	0.0	0.0	0.0	0.0	0.0	0.0
04:50	0.0	0.0	0.0	0.0	0.0	0.0
04:55	0.0	0.0	0.0	0.0	0.0	0.0
05:00	0.0	0.0	0.0	0.0	0.0	0.0
05:05	0.0	0.0	0.0	0.0	0.0	0.0
05:10	0.0	0.0	0.0	0.0	0.0	0.0
05:15	0.0	0.0	0.0	0.0	0.0	0.0
05:20	0.0	0.0	0.0	0.0	0.0	0.0
05:25	0.0	0.0	0.0	0.0	0.0	0.0
05:30	0.0	0.0	0.0	0.0	0.0	0.0
05:35	0.0	0.0	0.0	0.0	0.0	0.0
05:40	0.0	0.0	0.0	0.0	0.0	0.0
05:45	0.0	0.0	0.0	0.0	0.0	0.0
05:50	0.0	0.0	0.0	0.0	0.0	0.0
05:55	0.0	0.0	0.0	0.0	0.0	0.0
06:00	0.0	0.0	0.0	0.0	0.0	0.0
06:05	0.0	0.0	0.0	0.0	25.0	0.0
06:10	1.0	1.0	0.0	0.0	23.0	0.0
06:15	0.0	0.0	2.0	0.0	23.0	0.0
06:20	0.0	0.0	0.0	1.0	24.0	0.0
06:25	0.0	0.0	0.0	0.0	25.0	0.0
06:30	0.0	0.0	0.0	0.0	25.0	0.0
06:35	0.0	0.0	0.0	0.0	25.0	0.0
06:40	1.0	0.0	0.0	0.0	24.0	0.0
06:45	0.0	0.0	1.0	0.0	24.0	0.0
06:50	1.0	0.0	1.0	0.0	23.0	0.0
06:55	1.0	2.0	0.0	0.0	22.0	0.0
